Date,Home_team,Away_team,Home_score,Away_score,Match_type
4/7/2022,Liaoning,Shanxi,116,104,1
4/7/2022,Zhejiang,Guangdong,98,99,1
4/8/2022,Guangsha,Jilin,93,84,1
4/8/2022,Shanghai,Shenzhen,120,118,1
4/9/2022,Guangdong,Zhejiang,97,82,1
4/9/2022,Shanxi,Liaoning,109,115,1
4/10/2022,Shenzhen,Shanghai,82,87,1
4/10/2022,Jilin,Guangsha,100,110,1
4/12/2022,Liaoning,Guangdong,92,79,1
4/13/2022,Guangsha,Shanghai,108,93,1
4/14/2022,Liaoning,Guangdong,96,83,1
4/15/2022,Guangsha,Shanghai,106,96,1
4/16/2022,Guangdong,Liaoning,116,117,1
4/17/2022,Shanghai,Guangsha,100,103,1
4/20/2022,Liaoning,Guangsha,98,75,1
4/22/2022,Liaoning,Guangsha,99,90,1
